product_name,country,category,subcategory,price,brand,form,type,size,rating,noofratings
Soothe & Sleep with Lavender Pure Epsom Salt Soaking Solution,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.8,"1,987"
Eucalyptus Epsom Salt Relax,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.8,"1,987"
Deep Marine Sea Kelp Mineral Soak Purify & Hydrate.,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.9,21
Pure Epsom Salt Soaking Solution Menstrual Relief with Herbal Plant Complex,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.8,33
Pure Epsom Salt Soaking Solution Refresh & Revitalize with Organic Superfoods,USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,4.8,30
"Pure Epsom Salt Soak, Calm & Serenity with Rose Essential Oil & Milk Protein",USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,5,5
"Pure Epsom Salt Soak, Pomegranate Oil & Black Currant",USA,body,bodywash,611.93,Dr Teal's,cream,all,1440,,
Shea Sugar Body Scrub with Coconut Oil and Essential Oils,USA,body,bodywash,734.48,Dr Teal's,cream,all,570,4.9,29
"Shea Sugar Body Scrub with Melatonin, Lavender and Chamomile Essential Oils",USA,body,bodywash,734.48,Dr Teal's,cream,all,570,4.8,"2,324"
Shea Sugar Body Scrub with Prebiotic Lemon Balm and Essential Oils,USA,body,bodywash,734.48,Dr Teal's,cream,all,570,5,1
Shea Sugar Body Scrub with Cannabis Sativa Hemp Seed Oil & Essential Oils,USA,body,bodywash,734.48,Dr Teal's,cream,all,570,4.8,63
Rose Shea Sugar Scrub,USA,body,bodywash,734.48,Dr Teal's,cream,all,570,4.8,"2,279"
Shea Butter & Almond Oil Shea Sugar Scrub,USA,body,bodywash,734.48,Dr Teal's,cream,all,570,4.8,"2,329"
Kamili Cream Body Cleanser,USA,body,bodywash,1797.4,Drunk Elephant,cream,all,240,4.5,108
Sugared Koffie Almond Milk Body Scrub,USA,body,bodywash,2614.4,Drunk Elephant,cream,all,270,3.8,79
"Big Ass Brick of Soap, Jr. - Naval Diplomacy",USA,body,bodywash,407.68,Duke Cannon Supply Co,cream,all,135,5,5
Big Ass Brick Of Soap - Midnight Swim,USA,body,bodywash,652.78,Duke Cannon Supply Co,cream,all,300,,
Big Ass Brick Of Soap - Sawtooth,USA,body,bodywash,652.78,Duke Cannon Supply Co,cream,all,300,,
Big Ass Brick Of Soap - Bay Rum,USA,body,bodywash,652.78,Duke Cannon Supply Co,cream,all,300,,
Big Ass Brick of Soap - Smells Like Naval Diplomacy,USA,body,bodywash,652.78,Duke Cannon Supply Co,cream,all,300,4.7,13
Big Ass Brick of Soap - Smells Like Productivity,USA,body,bodywash,652.78,Duke Cannon Supply Co,cream,all,300,4.7,16
THICK Sawtooth High-Viscosity Body Wash,USA,body,bodywash,652.78,Duke Cannon Supply Co,cream,all,525,,
THICK Midnight Swim High-Viscosity Body Wash,USA,body,bodywash,652.78,Duke Cannon Supply Co,cream,all,525,,
THICK Bay Rum High-Viscosity Body Wash,USA,body,bodywash,652.78,Duke Cannon Supply Co,cream,all,525,,
THICK Buffalo Trace High-Viscosity Body Wash,USA,body,bodywash,816.18,Duke Cannon Supply Co,cream,all,525,4,2
Tactical Soap on a Rope Pouch,USA,body,bodywash,1633.18,Duke Cannon Supply Co,cream,all,0,4.7,7
Coconut & Lime Natural Body Wash,USA,body,bodywash,1960.8,Each & Every,cream,all,240,,
Lavender & Lemon Natural Body Wash,USA,body,bodywash,1960.8,Each & Every,cream,all,300,5,1
Rose & Vanilla Natural Body Wash,USA,body,bodywash,1960.8,Each & Every,cream,all,300,1,1
Citrus & Vetiver Natural Body Wash,USA,body,bodywash,1960.8,Each & Every,cream,all,300,5,1
Charcoal Exfoliating Loofa Scrub,USA,body,bodywash,817,Earth Therapeutics,cream,all,0,4.3,12
Charcoal Purifying Foot Scrub,USA,body,bodywash,817,Earth Therapeutics,cream,all,150,4.4,57
Exfoliating Back Scrubber,USA,body,bodywash,685.46,EcoTools,cream,all,0.21,3.6,22
Soothing Body Wash,USA,body,bodywash,1139.72,Eczema Honey,cream,all,390,4.4,31
Sandalwood Body Wash,USA,body,bodywash,734.48,Every Man Jack,cream,all,507,4.8,151
Cedarwood Body Wash,USA,body,bodywash,734.48,Every Man Jack,cream,all,507,4.3,8
Travel Size KP Bump Eraser Body Scrub with 10% AHA,USA,body,bodywash,980.4,First Aid Beauty,cream,all,60,4.6,"1,751"
KP Bump Eraser Body Scrub with 10% AHA,USA,body,bodywash,2451,First Aid Beauty,cream,all,240,4.6,"1,751"
Scrub Me Down Exfoliating Body Scrub,USA,body,bodywash,734.48,Formula 10.0.6,cream,all,0,3.4,8
Look So Clear Alpha Hydroxy Acid Body Wash,USA,body,bodywash,734.48,Formula 10.0.6,cream,all,303,3.3,4
Smooth Me Over Moisturizing Body Wash,USA,body,bodywash,734.48,Formula 10.0.6,cream,all,303,3.8,5
Original Coffee Scrub,USA,body,bodywash,812.92,frank body,cream,all,105,4.8,"2,661"
Scrub & Rub Kit,USA,body,bodywash,1221.42,frank body,cream,all,0,4,1
Coconut Coffee Scrub,USA,body,bodywash,1629.92,frank body,cream,all,210,4.7,"1,976"
Cacao Coffee Scrub,USA,body,bodywash,1629.92,frank body,cream,all,210,4.7,771
Rosehip Body Scrub + Cleanser,USA,body,bodywash,1793.32,frank body,cream,all,264.6,4.5,15
Glycolic Body Scrub,USA,body,bodywash,1793.32,frank body,cream,all,264.6,4.8,12
Bath & Shower Gel,USA,body,bodywash,2042.5,fresh,cream,all,300,4.8,53
Milk Body Cleanser,USA,body,bodywash,2614.4,fresh,cream,all,261,4.8,932
Brown Sugar Body Polish,USA,body,bodywash,3186.3,fresh,cream,all,210,4.6,26
Bath Drops,USA,body,bodywash,3104.6,Fur,cream,all,3.9,4.1,17
KP Body Scrub,USA,body,bodywash,3104.6,Fur,cream,all,180,4.8,8
Silk Scrub,USA,body,bodywash,4411.8,Fur,cream,all,180,3,26
No Bump Body Scrub,USA,body,bodywash,816.18,Gigi,cream,all,180,4.2,25
Venus Skin Smoothing Exfoliant,USA,body,bodywash,1142.98,Gillette,cream,all,180,4.5,789
Venus 2-in-1 Cleanser + Shave Gel,USA,body,bodywash,1142.98,Gillette,cream,all,192.6,4.5,210
Discoloration Correcting Body Treatment,USA,body,bodywash,1225.5,Good Molecules,cream,all,120,3.9,33
Blackberry & Lemongrass Herbal Exfoliating Body Scrub,USA,body,bodywash,1224.68,Hempz,cream,all,240,4,3
Koa & Sweet Almond Soothing Herbal Bubble Bath,USA,body,bodywash,1307.2,Hempz,cream,all,202.8,4.1,22
Limited Edition White Gardenia & Coconut Palm Herbal Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,240,4.4,13
Apricot & Clementine Herbal Foaming Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,240,3,10
Sweet Jasmine & Rose Herbal Foaming Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,240,3.6,56
Limited Edition Sugared Banana & Vanilla Blossom Herbal Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,255,4.1,19
Sweet Pineapple & Honey Melon Herbal Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,255,4.7,60
Triple Moisture Herbal Whipped Creme Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,255,4.5,79
Fresh Coconut & Watermelon Nourishing Herbal Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,255,4.4,34
Original Invigorating Herbal Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,255,4.5,38
Age Defying Renewing Herbal Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,255,4.3,45
Age Defying Glycolic Herbal Body Scrub,USA,body,bodywash,1552.3,Hempz,cream,all,270,4.3,38
Pomegranate Moisturizing Herbal Body Wash,USA,body,bodywash,1552.3,Hempz,cream,all,270,4.7,41
Apricot & Clementine Herbal Scalp & Body Scrub,USA,body,bodywash,1633.18,Hempz,cream,all,219,4.7,9
Full Spectrum Of Possibilities Pearlescent CBD Bath Soak,USA,body,bodywash,1143.8,Homebody,cream,all,150,4.3,16
Home Baked Goods,USA,body,bodywash,1143.8,Homebody,cream,all,150,4.8,5
Under The Pale Moon Sky,USA,body,bodywash,1143.8,Homebody,cream,all,150,4.8,4
Forest: For - Rest,USA,body,bodywash,1143.8,Homebody,cream,all,150,4.2,6
Amethyst + Alchemist Pearlescent CBD Bath Soak,USA,body,bodywash,1143.8,Homebody,cream,all,150,4.3,12
You're About To Become Berry Sleepy,USA,body,bodywash,1143.8,Homebody,cream,all,150,3.9,7
I Rose Above It Pearlescent CBD Bath Soak,USA,body,bodywash,1143.8,Homebody,cream,all,150,5,12
Orange You Glad This Is Good for You,USA,body,bodywash,1143.8,Homebody,cream,all,150,5,2
The Future Is Green: Superfood Blend,USA,body,bodywash,1143.8,Homebody,cream,all,150,4.3,3
Vitamin Sea Pearlescent CBD Bath Soak,USA,body,bodywash,1143.8,Homebody,cream,all,150,4.5,2
Under The Pale Moon Sky Pearlescent CBD Bath Soak,USA,body,bodywash,3431.4,Homebody,cream,all,420,5,7
Amethyst + Alchemist Pearlescent CBD Bath Bomb Soak,USA,body,bodywash,3431.4,Homebody,cream,all,420,4.7,19
The Future is Green Pearlescent CBD Bath Bomb Soak,USA,body,bodywash,3431.4,Homebody,cream,all,420,4.6,8
Vitamin Sea Pearlescent CBD Bath Bomb Soak,USA,body,bodywash,3431.4,Homebody,cream,all,420,3.3,7
Plot Twist Pearlescent CBD Bath Bomb Soak,USA,body,bodywash,3431.4,Homebody,cream,all,420,4.5,6
Hustle Bubbles Deluxe,USA,body,bodywash,1633.18,Hustle Butter,cream,all,210,5,18
DETOX Bath & Shower Aromatherapy Tablets,USA,body,bodywash,816.18,J.R. Watkins,cream,all,1.2,4.2,11
SLEEP Aromatherapy In-Shower Mist,USA,body,bodywash,816.18,J.R. Watkins,cream,all,120,3.4,16
AWAKEN Aromatherapy In-Shower Mist,USA,body,bodywash,816.18,J.R. Watkins,cream,all,120,3.1,11
LOVE Creamy Body Wash,USA,body,bodywash,816.18,J.R. Watkins,cream,all,360,4.3,3
SLEEP Creamy Body Wash,USA,body,bodywash,816.18,J.R. Watkins,cream,all,360,4,14
RELAX Aromatherapy Bath & Shower Tablets,USA,body,bodywash,816.18,J.R. Watkins,cream,all,540,,
Performance Remedy Turbo Body Bar Scrubbing Soap,USA,body,bodywash,1307.2,Jack Black,cream,all,180,4.6,79
Oil-Free Sun Guard SPF 45 Sunscreen,USA,body,sunscreen,1797.62,Jack Black,cream,sensitive,120,4.6,97
Oil-Free Sun Guard SPF 45 Sunscreen,USA,body,sunscreen,1797.62,Jack Black,cream,"combinational,oily,normal",120,4.6,97
All-Over Wash,USA,body,bodywash,1960.8,Jack Black,cream,all,300,4.8,396
Black Reserve Body & Hair Cleanser,USA,body,bodywash,4248.4,Jack Black,cream,all,990,4.3,161
Turbo Wash Energizing Cleanser,USA,body,bodywash,4248.4,Jack Black,cream,all,990,4.8,603
ExfoliKate Resurfacing Body Scrub,USA,body,bodywash,4575.2,Kate Somerville,cream,all,150,5,4
Smoothing Oil-to-foam Body Cleanser,USA,body,bodywash,2859.5,Kiehl's Since 1851,cream,all,255,4.3,59
"Kimirica Creme Bath Tropical Forest Summer Body Wash - 290, 100% Vegan and Paraben Free, Made with White Tea, Ginkgo Biloba, Argan Oil and Enriched with Vitamin E, Pro-Vitamin B5",India,body,bodywash,122.76,Kimirica,cream,,290,134,
"Kimirica Creme Bath Summer Body Wash - 290, 100% Vegan and Paraben Free (Pack of 1) (Fruit Secret)",India,body,bodywash,122.76,Kimirica,cream,,290,122,
Sugarï¿½ï¿½ï¿½ï¿½ï¿½ï¿½Exfoliatingï¿½ï,USA,body,bodywash,980.4,Kitsch,cream,all,0.21,4.6,53
Travel Size Relaxing Lavender Mineral Bath Salt Soak,USA,body,bodywash,163.4,Kneipp,cream,all,63,4.9,148
Travel Size Refreshing Eucalyptus Mineral Bath Salt Soak,USA,body,bodywash,326.8,Kneipp,cream,all,63,4.8,133
Travel Size Joint & Muscle Arnica Mineral Bath Salt Soak,USA,body,bodywash,326.8,Kneipp,cream,all,63,4.8,214
Travel Size Deep Breathe Pine & Fir Mineral Bath Salt Soak,USA,body,bodywash,326.8,Kneipp,cream,all,63,4.8,33
Travel Size Dream Away Valerian & Hops Mineral Bath Salt Soak,USA,body,bodywash,326.8,Kneipp,cream,all,63,4.6,198
Travel Size Good Night Swiss Stone Pine & Balsam Torchwood Mineral Bath Salt Soak,USA,body,bodywash,326.8,Kneipp,cream,all,63,4,1
Travel Size Goodbye Stress Water Mint & Rosemary Mineral Bath Salt Soak,USA,body,bodywash,326.8,Kneipp,cream,all,63,3,2
Refreshing Eucalyptus & Mint Body Wash,USA,body,bodywash,980.4,Kneipp,cream,all,201,4.4,26
Relaxing Lavender Body Wash,USA,body,bodywash,980.4,Kneipp,cream,all,201,4.9,29
Goodbye Stress Aromatherapy Body Wash,USA,body,bodywash,980.4,Kneipp,cream,all,252,4.8,13
Goodbye Stress Water Mint & Rosemary Aromatherapy Bubble Bath,USA,body,bodywash,1307.2,Kneipp,cream,all,405,4.4,17
Under the Weather Eucalyptus Bubble Bath,USA,body,bodywash,1307.2,Kneipp,cream,all,405,4.5,2
Dream Time Lavender & Vanilla Bubble Bath,USA,body,bodywash,1307.2,Kneipp,cream,all,405,5,3
